,district,school,county,grades,students,teachers,calworks,lunch,computer,expenditure,income,english,read,math
10,67306,Del Paso Heights Elementary,Sacramento,KK-06,2247,108,78.99420166,87.31639862,0,5036.211426,11.61333275,40.27592087,611.9000244,613.4000244
19,64709,Lennox Elementary,Los Angeles,KK-08,6880,303.0299988,21.28240013,94.97119904,960,5064.615723,7.021999836,77.0058136,619.0999756,620.5
31,68379,San Ysidro Elementary,San Diego,KK-08,4142,201,35.5625,81.50650024,569,5342.233398,6.612999916,80.42008972,620.4000244,628.7000122
33,64816,Mountain View Elementary,Los Angeles,KK-08,10012,464.8999939,29.76390076,91.59339905,721,5036.458984,8.126615524,65.12185669,620.7999878,629.7999878
36,64758,Los Nietos Elementary,Los Angeles,KK-08,2267,103.6800003,19.15169907,84.43379974,177,5272.191895,11.33250046,35.46537018,625.4000244,628.2000122
46,65078,Valle Lindo Elementary,Los Angeles,KK-08,1235,53,8.218299866,62.13019943,175,4359.520996,7.331999779,30.28339958,630.2000122,629.4000244
47,69369,Alum Rock Union Elementary,Santa Clara,KK-08,16244,766.6500244,17.4531002,69.73989868,1423,5645.495605,12.5815773,49.8645668,629.5,631.2000122
50,69450,Franklin-McKinley Elementary,Santa Clara,KK-08,10696,487.9700012,22.15780067,70.89569855,1306,5257.996582,11.78499985,52.80478668,628.5,632.5999756
51,64592,Hawthorne Elementary,Los Angeles,KK-08,8935,444.5,36.94509888,79.51200104,786,5016.692383,14.06200027,44.08506012,628.4000244,633.7000122
54,69120,Santa Maria-Bonita Elementary,Santa Barbara,KK-08,10625,521.4699707,7.497499943,77.52559662,896,5615.441895,12.30179977,50.39059067,629.5999756,634.2000122
55,65110,Whittier City Elementary,Los Angeles,KK-08,7151,318.5799866,18.54809952,61.73820114,560,5245.439941,15.40407085,31.07257843,634.2000122,629.7000122
56,64477,Eastside Union Elementary,Los Angeles,KK-08,2404,105,20.92740059,52.94350052,202,4838.175293,13.76200008,18.26123238,633.5,630.5
57,64691,Lawndale Elementary,Los Angeles,KK-08,5804,283.1499939,28.34250069,81.11650085,480,5367.988281,14.18400002,34.70020676,631.4000244,633
58,67421,Robla Elementary,Sacramento,KK-06,2253,112.6500015,43.49760056,84.55390167,196,5526.236816,8.864999771,33.28894806,637.5,627
62,67397,North Sacramento Elementary,Sacramento,KK-06,5138,290.7749939,58.75220108,84.99900055,560,5606.781738,10.90564251,32.98949051,630.2999878,635.7999878
63,66423,Anaheim Elementary,Orange,KK-06,20927,953.5,10.91139984,82.39260101,1048,4969.180664,13.40062523,58.21665573,629.5999756,636.7000122
67,65037,South Whittier Elementary,Los Angeles,KK-08,4340,209.8399963,17.70260048,93.92269897,284,5181.57959,14.60162544,31.19815636,631.9000244,636.2000122
69,68221,National Elementary,San Diego,KK-06,6639,304.730011,26.84140015,100,505,5339.391113,8.423000336,58.08103561,631.5,636.7000122
72,64642,Keppel Union Elementary,Los Angeles,KK-08,2987,141.2100067,21.25880051,68.39640045,273,4826.666016,13.7305994,14.4291935,637.7000122,631.0999756
75,69203,Guadalupe Union Elementary,Santa Barbara,KK-08,1088,55,14.15439987,86.02940369,107,4136.250977,6.982999802,64.24632263,631.0999756,638.7000122
88,64501,El Monte City Elementary,Los Angeles,KK-08,11629,546.2999878,25.37940025,83.873703,1015,5100.202148,9.428894997,59.0334549,632.4000244,641.4000244
91,67322,Elverta Joint Elementary,Sacramento,KK-08,417,23,19.90410042,46.04320145,27,5349.367676,11.82999992,0.959232628,638,636.2000122
